Date,Client,Project,Hours,Rate,Billable Amount,Status
2025-01-06,PixelForge,Website Redesign,8,150,1200,Billed
2025-01-06,GreenLeaf,SEO Audit,6,120,720,Billed
2025-01-07,PixelForge,Website Redesign,7.5,150,1125,Billed
2025-01-07,DataVista,Data Pipeline,8,175,1400,Pending
2025-01-08,GreenLeaf,Content Strategy,5,120,600,Billed
2025-01-08,PixelForge,Social Campaign,6,150,900,Billed
2025-01-09,DataVista,Analytics Setup,7,175,1225,Billed
2025-01-09,PixelForge,Website Redesign,8,150,1200,Billed
2025-01-10,GreenLeaf,SEO Audit,4,120,480,Pending
2025-01-10,PixelForge,Social Campaign,7,150,1050,Billed
2025-01-13,DataVista,Dashboard Build,8,175,1400,Billed
2025-01-13,PixelForge,Email Template,5,150,750,Billed
2025-01-14,GreenLeaf,PPC Analysis,6,120,720,Billed
2025-01-14,PixelForge,Website Redesign,8,150,1200,Billed
2025-01-15,DataVista,Data Pipeline,7,175,1225,Pending
2025-01-15,PixelForge,Social Campaign,6,150,900,Billed
2025-01-16,GreenLeaf,Content Strategy,5,120,600,Billed
2025-01-16,PixelForge,Email Template,4,150,600,Billed
2025-01-17,DataVista,Analytics Setup,8,175,1400,Billed
2025-01-17,PixelForge,Website Redesign,7.5,150,1125,Billed
2025-01-20,GreenLeaf,SEO Audit,6,120,720,Pending
2025-01-20,PixelForge,Social Campaign,7,150,1050,Billed
2025-01-21,DataVista,Dashboard Build,8,175,1400,Billed
2025-01-21,PixelForge,Website Redesign,8,150,1200,Billed
2025-01-22,GreenLeaf,PPC Analysis,5,120,600,Billed
2025-01-22,PixelForge,Email Template,6,150,900,Billed
2025-01-23,DataVista,Data Pipeline,7,175,1225,Pending
2025-01-23,PixelForge,Social Campaign,6,150,900,Billed
2025-01-24,GreenLeaf,Content Strategy,5,120,600,Billed
2025-01-24,PixelForge,Website Redesign,8,150,1200,Billed
2025-01-27,DataVista,Analytics Setup,8,175,1400,Billed
2025-01-27,PixelForge,Email Template,4,150,600,Billed
2025-01-28,GreenLeaf,SEO Audit,6,120,720,Pending
2025-01-28,PixelForge,Social Campaign,7,150,1050,Billed
2025-01-29,DataVista,Dashboard Build,8,175,1400,Billed
2025-01-29,PixelForge,Website Redesign,7.5,150,1125,Billed
2025-01-30,GreenLeaf,PPC Analysis,5,120,600,Billed
2025-01-30,PixelForge,Email Template,6,150,900,Billed
2025-01-31,DataVista,Data Pipeline,7,175,1225,Pending
2025-01-31,PixelForge,Social Campaign,6,150,900,Billed
